Date,Employee_ID,Clock_In,Clock_Out,Total_Hours,OT_Hours
2023-01-01,Person_0,08:43,16:42,7.98,0.0
2023-01-02,Person_0,08:44,16:42,7.97,0.0
2023-01-03,Person_0,08:49,16:48,7.98,0.0
2023-01-04,Person_0,08:45,16:48,8.05,0.05
2023-01-05,Person_0,08:43,16:42,7.98,0.0
2023-01-06,Person_0,08:50,16:41,7.85,0.0
2023-01-07,Person_0,08:44,16:47,8.05,0.05
2023-01-08,Person_0,08:49,16:46,7.95,0.0
2023-01-09,Person_0,08:44,16:44,8.0,0.0
2023-01-10,Person_0,08:46,16:47,8.02,0.02
2023-01-11,Person_0,08:48,16:46,7.97,0.0
2023-01-12,Person_0,08:43,16:46,8.05,0.05
2023-01-13,Person_0,08:48,16:43,7.92,0.0
2023-01-14,Person_0,08:45,16:42,7.95,0.0
2023-01-15,Person_0,08:42,16:46,8.07,0.07
2023-01-16,Person_0,08:45,16:46,8.02,0.02
2023-01-17,Person_0,08:43,16:41,7.97,0.0
2023-01-18,Person_0,08:49,16:43,7.9,0.0
2023-01-19,Person_0,08:49,16:44,7.92,0.0
2023-01-20,Person_0,08:45,16:46,8.02,0.02
2023-01-21,Person_0,08:40,16:44,8.07,0.07
2023-01-22,Person_0,08:49,16:47,7.97,0.0
2023-01-23,Person_0,08:42,16:53,8.18,0.18
2023-01-24,Person_0,08:42,16:46,8.07,0.07
2023-01-25,Person_0,08:42,16:43,8.02,0.02
2023-01-26,Person_0,08:48,16:49,8.02,0.02
2023-01-27,Person_0,08:44,16:48,8.07,0.07
2023-01-28,Person_0,08:42,16:43,8.02,0.02
2023-01-29,Person_0,08:47,16:39,7.87,0.0
2023-01-30,Person_0,08:41,16:49,8.13,0.13
2023-01-31,Person_0,08:47,16:49,8.03,0.03
2023-02-01,Person_0,08:51,16:44,7.88,0.0
2023-02-02,Person_0,08:41,16:45,8.07,0.07
2023-02-03,Person_0,08:44,16:45,8.02,0.02
2023-02-04,Person_0,08:43,16:45,8.03,0.03
2023-02-05,Person_0,08:41,16:42,8.02,0.02
2023-02-06,Person_0,08:53,16:43,7.83,0.0
2023-02-07,Person_0,08:41,16:44,8.05,0.05
2023-02-08,Person_0,08:48,16:48,8.0,0.0
2023-02-09,Person_0,08:43,16:44,8.02,0.02
2023-02-10,Person_0,08:47,16:44,7.95,0.0
2023-02-11,Person_0,08:46,16:50,8.07,0.07
2023-02-12,Person_0,08:44,16:42,7.97,0.0
2023-02-13,Person_0,08:52,16:46,7.9,0.0
2023-02-14,Person_0,08:45,16:40,7.92,0.0
2023-02-15,Person_0,08:45,16:46,8.02,0.02
2023-02-16,Person_0,08:47,16:49,8.03,0.03
2023-02-17,Person_0,08:46,16:45,7.98,0.0
2023-02-18,Person_0,08:51,16:47,7.93,0.0
2023-02-19,Person_0,08:41,16:45,8.07,0.07
2023-02-20,Person_0,08:48,16:48,8.0,0.0
2023-02-21,Person_0,08:41,16:47,8.1,0.1
2023-02-22,Person_0,08:47,16:49,8.03,0.03
2023-02-23,Person_0,08:47,16:43,7.93,0.0
2023-02-24,Person_0,08:51,16:44,7.88,0.0
2023-02-25,Person_0,08:44,16:46,8.03,0.03
2023-02-26,Person_0,08:45,16:44,7.98,0.0
2023-02-27,Person_0,08:49,16:44,7.92,0.0
2023-02-28,Person_0,08:45,16:41,7.93,0.0
2023-03-01,Person_0,08:43,16:39,7.93,0.0
2023-03-02,Person_0,08:41,16:48,8.12,0.12
2023-03-03,Person_0,08:44,16:47,8.05,0.05
2023-03-04,Person_0,08:43,16:44,8.02,0.02
2023-03-05,Person_0,08:47,16:46,7.98,0.0
2023-03-06,Person_0,08:51,16:38,7.78,0.0
2023-03-07,Person_0,08:45,16:47,8.03,0.03
2023-03-08,Person_0,08:45,16:42,7.95,0.0
2023-03-09,Person_0,08:46,16:45,7.98,0.0
2023-03-10,Person_0,08:47,16:42,7.92,0.0
2023-03-11,Person_0,08:45,16:47,8.03,0.03
2023-03-12,Person_0,08:41,16:40,7.98,0.0
2023-03-13,Person_0,08:43,16:47,8.07,0.07
2023-03-14,Person_0,08:44,16:40,7.93,0.0
2023-03-15,Person_0,08:49,16:44,7.92,0.0
2023-03-16,Person_0,08:41,16:49,8.13,0.13
2023-03-17,Person_0,08:48,16:43,7.92,0.0
2023-03-18,Person_0,08:51,16:45,7.9,0.0
2023-03-19,Person_0,08:49,16:44,7.92,0.0
2023-03-20,Person_0,08:47,16:41,7.9,0.0
2023-03-21,Person_0,08:40,16:53,8.22,0.22
2023-03-22,Person_0,08:45,16:40,7.92,0.0
